genres,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
"['dark clubbing', 'electro-industrial', 'industrial', 'industrial metal', 'industrial rock']",3T,0.349666667,0.669666667,320777.6667,0.435666667,0.000150967,0.330666667,-11.056,0.0342,113.091,0.479333333,45.33333333,10,0,3
"['g funk', 'hyphy', 'west coast rap', 'west coast trap']",3X Krazy,0.0165,0.719,358467,0.686,0,0.236,-4.169,0.0829,95.19,0.49,46,10,0,2
"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']",3rd Bass,0.159066667,0.850333333,245560,0.665666667,0,0.157866667,-13.846,0.253333333,105.8423333,0.650333333,28.33333333,4,1,6
"['nu metal', 'rap rock']",3rd Strike,0.0075,0.444,249827,0.859,4.32E-05,0.24,-4.962,0.0484,99.655,0.394,38,2,1,2
[],3年E組うた担(渚&茅野&業&磯貝&前原),0.02194,0.515,257513.5,0.966,1.45E-05,0.2695,-2.603,0.0696,178.48,0.8115,59.5,7,1,4
"['new wave pop', 'pop rock']",4 Non Blondes,0.18415,0.528666667,239673.3333,0.57,5.10E-07,0.126633333,-10.1005,0.03825,117.8765,0.446166667,48.33333333,7,1,12
"['anime rock', 'vocaloid']",4 P.M.,0.749,0.363,162093,0.388,0,0.363,-8.608,0.034,76.099,0.348,37,11,0,2
"['oi', 'punk', 'ska']",4 Skins,0.0104,0.2655,158007,0.9295,2.61E-06,0.6155,-4.733,0.125,154.4345,0.4985,33.5,11,0,4
"['bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance', 'vocal trance']",4 Strings,0.00212,0.617,190427,0.79,0.0455,0.159,-6.983,0.0365,138.001,0.267,57,3,0,2
[],40 Thevz,0.0102,0.76,311040,0.585,0.000476,0.308,-7.307,0.161,91.179,0.455,52,3,1,2
"['detroit trap', 'rap', 'southern hip hop', 'trap']",42 Dugg,0.196977778,0.846888889,175771,0.566555556,0,0.151466667,-6.050555556,0.340888889,126.2526667,0.339666667,69.22222222,1,0,9
['broadway'],42nd Street Ensemble,0.885,0.314,301040,0.395,7.93E-06,0.293,-11.237,0.0538,165.023,0.362,4,7,1,2
